data_hora,entrada_id_raw,entrada_prazo_raw,entrada_taxa_raw,entrada_produto_raw,entrada_convenio_raw,saida_produto,saida_convenio,saida_familia,saida_grupo,confianca,aprovado,corrigido_para
2025-12-11T22:12:57.798680,2842,120,1.99,REFIN PORT - PREF SP - 1.99%,PREF. SP,REFIN PORT - PREF SP - 1.99%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.802682,2843,120,2.09,REFIN PORT - PREF SP - 2.09%,PREF. SP,REFIN PORT - PREF SP - 2.09%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.805682,2844,120,2.19,REFIN PORT - PREF SP - 2.19%,PREF. SP,REFIN PORT - PREF SP - 2.19%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.809677,2464,120,2,EMPRÉSTIMO - PREF FOZ DO IGUAÇU - 2.00%,PREF FOZ DO IGUAÇU,EMPRÉSTIMO - PREF FOZ DO IGUAÇU - 2.00%,PREF FOZ DO IGUAÇU,,,0.3,,
2025-12-11T22:12:57.818190,2887,120,1.8,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 1.80%,Gov. MA,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 1.80%,Gov. MA,,,0.3,,
2025-12-11T22:12:57.821181,2888,120,1.85,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 1.85%,Gov. MA,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 1.85%,Gov. MA,,,0.3,,
2025-12-11T22:12:57.825191,2889,120,2,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.00%,Gov. MA,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.00%,Gov. MA,,,0.3,,
2025-12-11T22:12:57.829424,2890,120,2.17,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.17%,Gov. MA,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.17%,Gov. MA,,,0.3,,
2025-12-11T22:12:57.832448,2891,120,2.3,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.30%,Gov. MA,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.30%,Gov. MA,,,0.3,,
2025-12-11T22:12:57.835448,2892,120,2.4,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.40%,Gov. MA,COMBO - GOV MARANHÃO - PORT 1.71% A 2.50% - REFIN 2.40%,Gov. MA,,,0.3,,
